fecha_cierre,tes_jul_2036,tes_may_2042
2026-02-27,13.47%,13.70%
2026-03-19,13.01%,13.29%
2026-03-20,13.09%,13.43%
2026-03-24,12.94%,13.27%
2026-03-25,12.96%,13.19%
2026-03-26,12.93%,13.11%
2026-03-27,12.80%,13.00%
2026-03-30,12.78%,13.00%
2026-03-31,12.88%,13.12%
2026-04-01,12.91%,13.18%
2026-04-08,12.85%,13.00%
2026-04-09,12.84%,13.10%
2026-04-10,12.75%,12.91%
2026-04-13,12.77%,12.81%
2026-04-14,12.69%,12.70%
2026-04-15,12.71%,12.72%
2026-04-17,12.71%,12.64%
2026-04-20,16.68%,12.61%
2026-04-21,12.72%,12.64%
2026-04-22,12.82%,12.82%
